schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,academic_years,org_members_academic_years_delete,PERMISSIVE,authenticated,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,academic_years,org_members_academic_years_insert,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,academic_years,org_members_academic_years_select,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,academic_years,org_members_academic_years_update,PERMISSIVE,authenticated,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,account_ledgers,Admins can manage ledgers,PERMISSIVE,public,ALL,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)","has_org_role(auth.uid(), organization_id, 'admin'::app_role)"
public,account_ledgers,Users can view ledgers in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,advance_booking_attempts,Org members can insert advance attempts,PERMISSIVE,authenticated,INSERT,,"(EXISTS ( SELECT 1
   FROM organization_members om
  WHERE ((om.organization_id = advance_booking_attempts.organization_id) AND (om.user_id = auth.uid()))))"
public,advance_booking_attempts,Org members can view advance attempts,PERMISSIVE,authenticated,SELECT,"(EXISTS ( SELECT 1
   FROM organization_members om
  WHERE ((om.organization_id = advance_booking_attempts.organization_id) AND (om.user_id = auth.uid()))))",
public,advance_refunds,Users can create refunds in their organization,PERMISSIVE,public,INSERT,,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,advance_refunds,Users can delete refunds in their organization,PERMISSIVE,public,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,advance_refunds,Users can view refunds in their organization,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,ai_assistant_usage,ai_usage_owner_select,PERMISSIVE,public,SELECT,(user_id = auth.uid()),
public,app_error_logs,authenticated_insert_errors,PERMISSIVE,authenticated,INSERT,,(user_id = auth.uid())
public,app_error_logs,org_or_own_select_errors,PERMISSIVE,authenticated,SELECT,(((organization_id IS NOT NULL) AND (organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))) OR (user_id = auth.uid())),
