cjs_gap_after;customer_id;paid_amount;receipts_after;receipts_live;sale_number;section;snap_drift_after;snap_drop_after;tender
1000.00;ff3547a1-d241-4fff-8465-665ee86707bb;11000.00;10000;20000;POS/25-26/123;named_bill;0;1000;1000
75200;1167547a-2ef1-4931-8993-2cb21ebcb619;81200;6000;12000;POS/25-26/717;named_bill;69200;0;75200
1000.00;3a4ef881-e561-4c0e-9764-1c8e903fe109;3100.00;2100;5200;POS/25-26/875;named_bill;0;1000;1000
1000.00;3a4ef881-e561-4c0e-9764-1c8e903fe109;3100.00;2100;5200;POS/25-26/875;named_bill;0;1000;1000
0.00;71b043b8-957c-472d-98ce-203fc4e35877;5570.00;5570;11140;POS/26-27/1116;named_bill;0;0;0
0.00;0616f278-8878-45fb-9dd4-ea899dfeb039;2745.00;2745;5490;POS/26-27/221;named_bill;0;0;0
0.00;71b043b8-957c-472d-98ce-203fc4e35877;570.00;570;1140;POS/26-27/292;named_bill;0;0;0
0.00;c25acad2-2253-4cd0-98d4-dd2728d4d3b5;1977.00;1977.00;3954.00;POS/26-27/378;named_bill;0;0;0
0.00;1ad6cd52-ce9c-48fd-85e0-12300ddd2a70;2000.00;2000;4000;POS/26-27/416;named_bill;0;0;0
1500;bc266355-68d6-424b-b71c-855aad2395c4;3000;1500;3000;POS/26-27/454;named_bill;1500;0;3000
0.00;0616f278-8878-45fb-9dd4-ea899dfeb039;3149.00;3149;6298;POS/26-27/536;named_bill;0;0;0
0.00;721fd1c2-29dc-486f-b543-68bfb4870ec2;3300.00;3300;6600;POS/26-27/558;named_bill;0;0;0
0.00;0616f278-8878-45fb-9dd4-ea899dfeb039;3900.00;3900;7800;POS/26-27/580;named_bill;0;0;0
0.00;ae7d0c17-8d95-459e-8bc1-62135c39a0ae;2299.00;2299;4598;POS/26-27/610;named_bill;0;0;0
0.00;0616f278-8878-45fb-9dd4-ea899dfeb039;1500.00;1500;3000;POS/26-27/70;named_bill;0;0;0
400;c085667a-c7ba-4a9f-b842-cead6f56310a;3000;2600;3000;POS/26-27/765;named_bill;0;400;400
	-0.10;8538501f-2f0b-4f69-8974-d96aaf06b682;13699.90;13700;27400;POS/26-27/808;named_bill;0;0;0
0.00;;15862.00;15862;31724;POS/26-27/85;named_bill;0;0;0
0.00;dde74df8-fe5d-48c8-a010-d33f290b98bc;2770.00;2770;5540;POS/26-27/853;named_bill;0;0;0
;ff3547a1-d241-4fff-8465-665ee86707bb;;10000;;POS/25-26/123;sibling_snap_drop;0;1000;1000
;3a4ef881-e561-4c0e-9764-1c8e903fe109;;2100;;POS/25-26/875;sibling_snap_drop;0;1000;1000
;dde74df8-fe5d-48c8-a010-d33f290b98bc;;6290;;POS/26-27/1488;sibling_snap_drop;0;6290;6290
;dde74df8-fe5d-48c8-a010-d33f290b98bc;;2547;;POS/26-27/1594;sibling_snap_drop;0;2547;2547
;dde74df8-fe5d-48c8-a010-d33f290b98bc;;849;;POS/26-27/1714;sibling_snap_drop;0;849;849
;0616f278-8878-45fb-9dd4-ea899dfeb039;;12416;;POS/26-27/1788;sibling_snap_drop;0;2416;2416
;c085667a-c7ba-4a9f-b842-cead6f56310a;;2600;;POS/26-27/765;sibling_snap_drop;0;400;400
;3a4ef881-e561-4c0e-9764-1c8e903fe109;;3000;;POS/26-27/824;sibling_snap_drop;0;500;500
