advance_memo_counted_by_old;both_count;customer_id;diff_reason;net_due;new_only_count;old_51_count;old_51_rupees;old_only_count;paid_amount;receipts_cn_netted;receipts_memo_excl;receipts_same_day;sale_number;section;set_91_count;set_91_rupees;shape;tender;tender_residual
0;;214db117-3616-4508-ac9f-3fcbb05903e1;BOTH;3050;;1;50;;3100;3100;3100;0;INV/25-26/1229;bill;1;50;RECEIPT_OVER_PARTIAL;0;0
0;;83937541-7e14-4dbc-8d79-0a4dff814e4d;BOTH;3950;;1;550;;4500;4500;4500;550;INV/25-26/1413;bill;1;550;RECEIPT_OVER_PARTIAL;0;0
0;;5b80d18e-07f5-4833-8032-136a120eb433;BOTH;15563;;1;639;;15563;16202;16202;0;INV/25-26/255;bill;1;639;RECEIPT_OVER_PARTIAL;0;0
0;;3442fa9c-0d6b-47f5-b631-4c30dc3faf46;BOTH;3200;;1;1300;;4500;4500;4500;1300;INV/25-26/443;bill;1;1300;RECEIPT_OVER_PARTIAL;0;0
0;;7383a57f-3e10-4fca-b67c-14b2fb151ec8;BOTH;9200;;1;3200;;12400;12400;12400;0;INV/25-26/733;bill;1;3200;RECEIPT_OVER_PARTIAL;0;0
0;;daf3a60f-ef50-4d9a-822a-621d613a99a9;BOTH;12252;;1;3000;;12252;15252;15252;0;INV/25-26/779;bill;1;3000;RECEIPT_OVER_PARTIAL;0;0
0;;3063c897-8909-40c9-808c-cdbb94344f40;BOTH;20000;;1;10000;;20000;30000;30000;30000;INV/25-26/799;bill;1;10000;RECEIPT_OVER_PARTIAL;0;0
0;;fd857b39-a7bd-4bef-9639-a5524c7d4cbf;BOTH;24850;;1;24850;;24850.00;49700;49700;49700;INV/25-26/821;bill;1;24850;EXACT_DOUBLE_RECEIPT;0;0
0;;2fcbb26b-e1d5-40aa-a528-a6374cabeb43;BOTH;5250;;1;5250;;5250;10500;10500;0;INV/26-27/1089;bill;1;5250;EXACT_DOUBLE_RECEIPT;0;0
0;;933ba20a-da65-4216-93fe-df46fbd24d06;BOTH;3150;;1;3150;;3150;6300;6300;0;INV/26-27/1117;bill;1;3150;EXACT_DOUBLE_RECEIPT;0;0
0;;1ce7dbea-7da0-4c3b-b805-be5d39cb4779;BOTH;7972.286999999999;;1;3841.713000000001;;7972;11814;11814;0;INV/26-27/157;bill;1;3841.713000000001;RECEIPT_OVER_PARTIAL;0;0
0;;526460c5-f9ef-4bb7-82f5-5ca90461aeb1;BOTH;250;;1;250;;250;500;500;500;INV/26-27/1621;bill;1;250;EXACT_DOUBLE_RECEIPT;0;0
0;;fc05b0af-62b9-4519-b8c0-d90ff74d2307;BOTH;5656.7;;1;363.3;;5657;6020;6020;0;INV/26-27/187;bill;1;363.3;RECEIPT_OVER_PARTIAL;0;0
0;;1f98d2c7-28c2-417a-bdcc-0d41eccb467e;BOTH;10500;;1;1000;;11500;11500;11500;0;INV/26-27/262;bill;1;1000;RECEIPT_OVER_PARTIAL;0;0
0;;9917dc4d-7257-43bf-abf5-7492bc79b29b;BOTH;8600;;1;4200;;12800;12800;12800;0;INV/26-27/341;bill;1;4200;RECEIPT_OVER_PARTIAL;0;0
0;;93b947b9-fb2f-435d-bc14-d11ba93895a4;BOTH;4500;;1;1800;;6300;6300;6300;1800;INV/26-27/469;bill;1;1800;RECEIPT_OVER_PARTIAL;0;0
0;;1167547a-2ef1-4931-8993-2cb21ebcb619;BOTH;5800;;1;5500;;5800.00;11300;11300;0;POS/25-26/1130;bill;1;5500;RECEIPT_OVER_PARTIAL;0;0
