a;b;c;customer_id;d;e;f;g;h;i;j;sale_number;section;shape;status;voucher_number
4000;4000;4300;02d461c8-bcf3-4303-8534-158f409eff3f;4300;0;4000;4000;completed → completed;2026-02-24;same_day 0 residual 4000;POS/25-26/820;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
12584;12584;7584;0616f278-8878-45fb-9dd4-ea899dfeb039;7584;0;12584;12584;completed → completed;2026-07-07;same_day 0 residual 12584;POS/26-27/1787;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
2745;0;5490;0616f278-8878-45fb-9dd4-ea899dfeb039;2745;2745;2745.00;2745;completed → completed;2026-04-11;same_day 0 residual 0;POS/26-27/221;bill;EXACT_DOUBLE_RECEIPT;OK;
3149;0;6298;0616f278-8878-45fb-9dd4-ea899dfeb039;3149;3149;3149.00;3149;completed → completed;2026-04-27;same_day 0 residual 0;POS/26-27/536;bill;EXACT_DOUBLE_RECEIPT;OK;
3900;0;7800;0616f278-8878-45fb-9dd4-ea899dfeb039;3900;3900;3900.00;3900;completed → completed;2026-04-29;same_day 0 residual 0;POS/26-27/580;bill;EXACT_DOUBLE_RECEIPT;OK;
1500;0;3000;0616f278-8878-45fb-9dd4-ea899dfeb039;1500;1500;1500.00;1500;completed → completed;2026-04-05;same_day 0 residual 0;POS/26-27/70;bill;EXACT_DOUBLE_RECEIPT;OK;
2000;0;4000;1ad6cd52-ce9c-48fd-85e0-12300ddd2a70;2000;2000;2000.00;2000;completed → completed;2026-04-21;same_day 0 residual 0;POS/26-27/416;bill;EXACT_DOUBLE_RECEIPT;OK;
442.005;442;442;1b55c8fa-22cc-4b37-8e11-c6755a8dd1fa;441.995;442;442;442;completed → completed;2026-06-30;same_day 0 residual 442;POS/26-27/1919;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
1203;1203;1203;1b55c8fa-22cc-4b37-8e11-c6755a8dd1fa;1203;1203;1203;1203;completed → completed;2026-07-01;same_day 0 residual 1203;POS/26-27/1971;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
7972.286999999999;0;11814;1ce7dbea-7da0-4c3b-b805-be5d39cb4779;3841.713000000001;0;7972;7972.286999999999;completed → completed;2026-04-11;same_day 0 residual 0;INV/26-27/157;bill;RECEIPT_OVER_PARTIAL;HOLD_NON_ECHO_REDUNDANT;
10500;0;11500;1f98d2c7-28c2-417a-bdcc-0d41eccb467e;1000;0;11500;10500;completed → completed;2026-04-20;same_day 0 residual 0;INV/26-27/262;bill;RECEIPT_OVER_PARTIAL;HOLD_BALANCE_ADJUSTMENT;
3050;0;3100;214db117-3616-4508-ac9f-3fcbb05903e1;50;0;3100;3050;completed → completed;2026-03-14;same_day 0 residual 0;INV/25-26/1229;bill;RECEIPT_OVER_PARTIAL;HOLD_PARTIAL;
5250;0;10500;2fcbb26b-e1d5-40aa-a528-a6374cabeb43;5250;5250;5250;5250;completed → completed;2026-05-26;same_day 0 residual 0;INV/26-27/1089;bill;EXACT_DOUBLE_RECEIPT;OK;
20000;0;30000;3063c897-8909-40c9-808c-cdbb94344f40;10000;5000;20000;20000;completed → completed;2026-03-07;same_day 30000 residual 0;INV/25-26/799;bill;RECEIPT_OVER_PARTIAL;HOLD_NON_ECHO_REDUNDANT;
3200;0;4500;3442fa9c-0d6b-47f5-b631-4c30dc3faf46;1300;0;4500;3200;completed → completed;2026-02-28;same_day 1300 residual 0;INV/25-26/443;bill;RECEIPT_OVER_PARTIAL;HOLD_BALANCE_ADJUSTMENT;
4500;4500;4500;3c2e5760-cc73-4b81-87f8-567fcd178448;4500;4500;4500;4500;completed → completed;2026-05-02;same_day 0 residual 4500;POS/26-27/513;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
1200;1500;2000;4046e7f4-ad50-43f8-9199-603520253a00;2300;0;1500;1200;completed → completed;2026-02-24;same_day 0 residual 1500;POS/25-26/818;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
10309.6;10310;5310;52295574-5fc4-4f03-93a7-f9dd9b3932b8;5310.4;0;10310;10309.6;completed → completed;2026-05-22;same_day 0 residual 10310;POS/26-27/1050;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
250;0;500;526460c5-f9ef-4bb7-82f5-5ca90461aeb1;250;250;250;250;completed → completed;2026-06-16;same_day 500 residual 0;INV/26-27/1621;bill;EXACT_DOUBLE_RECEIPT;OK;
15563;0;16202;5b80d18e-07f5-4833-8032-136a120eb433;639;0;15563;15563;completed → completed;2026-01-27;same_day 0 residual 0;INV/25-26/255;bill;RECEIPT_OVER_PARTIAL;HOLD_PARTIAL;
1150.0004999999999;1150;150;70a1d1cc-b534-49e2-8461-989b26fe1935;149.9995000000001;0;1150;1150;completed → completed;2026-07-15;same_day 0 residual 1150;POS/26-27/1312;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
1700;1700;1200;70a1d1cc-b534-49e2-8461-989b26fe1935;1200;0;1700;1700;completed → completed;2026-07-21;same_day 0 residual 1700;POS/26-27/1353;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
5570;0;11140;71b043b8-957c-472d-98ce-203fc4e35877;5570;5570;5570.00;5570;completed → completed;2026-05-27;same_day 5570 residual 0;POS/26-27/1116;bill;EXACT_DOUBLE_RECEIPT;OK;
570;0;1140;71b043b8-957c-472d-98ce-203fc4e35877;570;570;570.00;570;completed → completed;2026-04-14;same_day 0 residual 0;POS/26-27/292;bill;EXACT_DOUBLE_RECEIPT;OK;
3300;0;6600;721fd1c2-29dc-486f-b543-68bfb4870ec2;3300;3300;3300.00;3300;completed → completed;2026-04-28;same_day 0 residual 0;POS/26-27/558;bill;EXACT_DOUBLE_RECEIPT;OK;
9200;0;12400;7383a57f-3e10-4fca-b67c-14b2fb151ec8;3200;0;12400;9200;completed → completed;2026-03-05;same_day 0 residual 0;INV/25-26/733;bill;RECEIPT_OVER_PARTIAL;HOLD_BALANCE_ADJUSTMENT;
8200;8200;4200;75d1295d-eaf0-4dd4-b884-f62c94e1ad18;4200;0;8200;8200;completed → completed;2026-02-07;same_day 0 residual 8200;POS/25-26/678;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
1775;1775;1278;7f1ca914-dd1f-4c93-8902-934513b0c1cf;1278;0;1775;1775;completed → completed;2026-03-30;same_day 0 residual 1775;POS/25-26/953;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
1205;1205;1205;7fb7d5d7-755b-410b-9158-444ab8f69de6;1205;1205;1205;1205;completed → completed;2026-05-24;same_day 0 residual 1205;POS/26-27/1047;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
3950;0;4500;83937541-7e14-4dbc-8d79-0a4dff814e4d;550;0;4500;3950;completed → completed;2026-03-18;same_day 550 residual 0;INV/25-26/1413;bill;RECEIPT_OVER_PARTIAL;HOLD_BALANCE_ADJUSTMENT;
13699.9;0;27400;8538501f-2f0b-4f69-8974-d96aaf06b682;13700.1;13700;13699.90;13699.9;completed → completed;2026-05-10;same_day 0 residual 0;POS/26-27/808;bill;EXACT_DOUBLE_RECEIPT;OK;
7200;0;8600;87534d47-323f-4057-ae72-6ad52095b68b;1400;0;8600;7200;completed → completed;2026-01-14;same_day 8000 residual 0;POS/25-26/405;bill;RECEIPT_OVER_PARTIAL;HOLD_NON_ECHO_REDUNDANT+PARTIAL;
2249.5;2249.5;2495;9004106f-be58-4a3a-8df2-01f08ea8c569;2495.0;0;2249.5;2249.5;completed → completed;2026-06-06;same_day 0 residual 2249.5;POS/26-27/1322;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
3150;0;6300;933ba20a-da65-4216-93fe-df46fbd24d06;3150;3150;3150;3150;completed → completed;2026-05-27;same_day 0 residual 0;INV/26-27/1117;bill;EXACT_DOUBLE_RECEIPT;OK;
4500;0;6300;93b947b9-fb2f-435d-bc14-d11ba93895a4;1800;0;6300;4500;completed → completed;2026-05-01;same_day 1800 residual 0;INV/26-27/469;bill;RECEIPT_OVER_PARTIAL;HOLD_BALANCE_ADJUSTMENT;
2705;2705;4289;98529989-4d61-4fd6-b685-4832fd2583ca;4289;0;2705;2705;completed → completed;2026-08-15;same_day 0 residual 2705;POS/26-27/2358;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
